Algorithm,Problem,Population,Crossover,Mutation,Time
ibea,WFG1,100,0.11146392597034906,0.11160921120623427,None
ibea,IMB14,100,0.21511756062238696,0.044117246260894374,None
ibea,IMB12,100,0.55,0.1,None
ibea,UF9,100,0.11146392597034906,0.11160921120623427,None
ibea,UF7,100,0.21511756062238696,0.044117246260894374,None
ibea,UF6,600,0.5489760764737858,0.14973027133254024,None
ibea,WFG5,100,0.21511756062238696,0.044117246260894374,None
ibea,WFG2,100,0.21511756062238696,0.044117246260894374,None
ibea,IMB7,600,0.10982787984853697,0.15202585178736416,None
ibea,WFG3,100,0.21511756062238696,0.044117246260894374,None
ibea,IMB9,600,0.10982787984853697,0.15202585178736416,None
ibea,UF3,100,0.21511756062238696,0.044117246260894374,None
cmpso,WFG9,200,None,0.028298938487663516,800
ibea,UF5,600,0.21185222183272595,0.13132374989054016,None
cmpso,UF7,900,None,0.007043170011483979,1000
ibea,UF8,100,0.55,0.1,None
ibea,WFG8,100,0.21511756062238696,0.044117246260894374,None
cmpso,UF1,1000,None,0.19479443919866501,400
ibea,WFG9,100,0.55,0.1,None
cmpso,ZDT4,1000,None,0.1508420632602469,400
cmpso,UF5,1000,None,0.006392297791779567,800
cmpso,UF6,1000,None,0.19949468281222726,200
cmpso,UF4,1000,None,0.1328934347426341,300
cmpso,ZDT3,1000,None,0.0420208989413285,700
cmpso,UF2,100,None,0.1,100
cmpso,ZDT6,1000,None,0.06314411113708865,900
cmpso,ZDT2,1000,None,0.10382618171862903,100
cmpso,UF3,1000,None,0.09553303944902827,400
cmpso,ZDT1,1000,None,0.13257947861084263,500
cmpso,UF8,100,None,0.10287700309941963,400
cmpso,UF9,1000,None,0.19802540000964694,200
moead,LZ09_F1,100,0.9997778163978848,0.19228544481264678,None
moead,LZ09_F2,100,0.2503107356248021,0.006220398829848478,None
omopso,LZ09_F1,900,None,0.19039916020491615,800
moead,LZ09_F6,100,0.8301741928921482,0.012572188664709306,None
moead,LZ09_F3,100,0.9999995039215526,6.6958975903439865e-06,None
omopso,LZ09_F2,1000,None,0.03471025399437577,700
moead,LZ09_F8,100,0.15618440687850876,0.052426151085983676,None
moead,LZ09_F5,100,0.21511756062238696,0.044117246260894374,None
omopso,LZ09_F3,900,None,0.1802867876889483,800
moead,LZ09_F9,100,0.9970004891235865,0.0009617803732949559,None
omopso,LZ09_F6,400,None,0.10046633320907264,100
omopso,LZ09_F4,600,None,0.19185315333333125,200
omopso,LZ09_F7,800,None,0.13354041025467542,500
omopso,LZ09_F5,500,None,0.18906699247724246,400
omopso,LZ09_F8,400,None,0.16183380597564537,700
moead,LZ09_F7,100,0.7563832314487727,0.0001254229072967223,None
omopso,LZ09_F9,100,None,0.019613958085515207,800
smpso,LZ09_F2,400,None,0.16183380597564537,700
smpso,LZ09_F1,200,None,0.05189014936252552,100
smpso,LZ09_F6,400,None,0.10916184970775755,100
smpso,LZ09_F3,100,None,0.10728540713988476,800
smpso,LZ09_F4,500,None,0.009120744094188022,600
ibea,ZDT1,1000,0.2129146455258219,0.029981049785069658,None
smpso,LZ09_F5,600,None,0.07282493897302049,900
ibea,ZDT3,100,0.11146392597034906,0.11160921120623427,None
smpso,LZ09_F9,200,None,0.046440208423193165,300
smpso,LZ09_F7,900,None,0.19886193683424613,200
smpso,LZ09_F8,1000,None,0.13663023943790342,900
ibea,ZDT6,1000,0.2129146455258219,0.029981049785069658,None
moead,LZ09_F4,500,0.9991641545922487,0.00023160681494110836,None
nsgaii,LZ09_F1,100,0.6682344641749374,0.015548600847304717,None
nsgaii,LZ09_F2,100,0.2284531003636569,0.0051489164280381795,None
nsgaii,LZ09_F3,100,0.21511756062238696,0.044117246260894374,None
nsgaii,LZ09_F5,100,0.11146392597034906,0.11160921120623427,None
nsgaii,LZ09_F6,100,0.12646223979950785,0.0007833553206485488,None
nsgaii,LZ09_F4,500,0.1646961304052313,0.0032010222211420916,None
cmpso,LZ09_F8,900,None,0.10330816454243939,100
nsgaii,LZ09_F7,100,0.179413190509067,0.009883949828304428,None
nsgaii,LZ09_F8,200,0.2033057257103984,0.005647423657798046,None
nsgaii,LZ09_F9,100,0.17444797556628547,0.0020442849513765404,None
cmpso,LZ09_F7,1000,None,0.055080615975814595,1000
ibea,ZDT4,1000,0.33956427478926193,0.1766420235425516,None
nsgaiii,LZ09_F3,100,0.7244978744474174,0.0849992669795431,None
nsgaiii,LZ09_F7,200,0.5780627205452736,0.0005551290523547082,None
nsgaiii,LZ09_F2,100,0.4218139589724439,0.036114422856463456,None
cmpso,LZ09_F1,1000,None,0.15413946648698587,800
nsgaiii,LZ09_F6,100,0.1463192080173899,0.02344827909604499,None
nsgaiii,LZ09_F1,100,0.7488354085813486,0.00044012477344397284,None
nsgaiii,LZ09_F8,900,0.1493079325216254,0.023766403114946023,None
nsgaiii,LZ09_F9,100,0.5094236079088857,0.003452729140935751,None
nsgaiii,LZ09_F4,200,0.145661264107328,0.011160503138842004,None
nsgaiii,LZ09_F5,100,0.21511756062238696,0.044117246260894374,None
cmpso,LZ09_F6,300,None,0.07698268944409721,100
omopso,DASCMOP1(5),100,None,0.044117246260894374,200
omopso,DASCMOP2(5),500,None,0.13277086102736746,600
omopso,DASCMOP3(5),200,None,0.048711908003729334,1000
omopso,DASCMOP5(5),900,None,0.1988499572805499,900
cmpso,LZ09_F2,900,None,0.1381590121790737,100
omopso,DASCMOP4(5),1000,None,0.15068331368076396,100
ibea,LZ09_F2,100,0.11146392597034906,0.11160921120623427,None
cmpso,LZ09_F3,900,None,0.044685369900260424,700
cmpso,LZ09_F4,1000,None,0.02562727196842467,900
omopso,DASCMOP6(5),200,None,0.17265805039384552,700
cmpso,LZ09_F9,900,None,0.06818982234734337,900
cmpso,LZ09_F5,1000,None,0.04528859198568827,500
smpso,DASCMOP1(5),900,None,0.07977750114147414,100
ibea,LZ09_F3,100,0.55,0.1,None
smpso,DASCMOP2(5),1000,None,0.13631314954442394,800
ibea,LZ09_F5,100,0.21511756062238696,0.044117246260894374,None
smpso,DASCMOP4(5),900,None,0.004718212367233888,1000
smpso,DASCMOP5(5),500,None,0.10432860945744918,100
ibea,LZ09_F1,200,0.4071831077301601,0.02077400065606765,None
smpso,DASCMOP6(5),1000,None,0.032773870818852524,500
ibea,LZ09_F4,200,0.4071831077301601,0.02077400065606765,None
ibea,LZ09_F9,700,0.42242008066135095,0.0317490277908262,None
ibea,LZ09_F8,100,0.21511756062238696,0.044117246260894374,None
smpso,DASCMOP3(5),100,None,0.13724130230394413,500
smpso,DASCMOP1(6),700,None,0.1563786427267384,200
smpso,DASCMOP2(6),800,None,0.11772336542308293,100
smpso,DASCMOP3(6),900,None,0.018340605198692,100
omopso,DASCMOP1(6),800,None,0.12841665237957106,900
smpso,DASCMOP6(6),600,None,0.10469839876563894,600
omopso,DASCMOP2(6),900,None,0.11171773688600134,900
moead,DASCMOP1(5),400,0.14849602030596948,0.00897369147891105,None
omopso,DASCMOP3(6),600,None,0.18365937610593844,400
smpso,DASCMOP4(6),300,None,0.15025821689657742,100
omopso,DASCMOP4(6),1000,None,0.14873327518146592,300
smpso,DASCMOP5(6),800,None,0.07900740161188374,100
omopso,DASCMOP5(6),1000,None,0.14107026190467872,900
moead,DASCMOP5(5),1000,0.2994496288400698,0.1953281544205683,None
omopso,DASCMOP6(6),400,None,0.19737659947625097,600
cmpso,DASCMOP2(5),600,None,0.012292752266853469,700
cmpso,DASCMOP3(5),500,None,0.17639467807819773,900
cmpso,DASCMOP4(5),800,None,0.05281343110805617,600
cmpso,DASCMOP5(5),800,None,0.05922125519606421,200
cmpso,DASCMOP6(5),1000,None,0.0016141624629102626,1000
cmpso,DASCMOP1(6),100,None,0.13191942193036224,500
cmpso,DASCMOP2(6),400,None,0.04408235673228429,500
moead,DASCMOP2(5),100,0.11256000998356826,0.00022010279726655954,None
cmpso,DASCMOP3(6),100,None,0.07424044745982461,200
cmpso,DASCMOP1(5),500,None,0.016798773094271337,500
nsgaii,DASCMOP1(5),100,0.11146392597034906,0.11160921120623427,None
cmpso,DASCMOP4(6),800,None,0.07699664836749212,1000
moead,DASCMOP3(5),800,0.410745296120158,0.03313621040827375,None
cmpso,DASCMOP5(6),1000,None,0.06272521371855001,300
nsgaii,DASCMOP5(5),900,0.8087648289959577,0.17713983572456304,None
nsgaii,DASCMOP3(5),300,0.22748020937474647,0.12952358127350314,None
nsgaii,DASCMOP2(5),300,0.4756979375666358,0.007282462039877724,None
cmpso,DASCMOP6(6),700,None,0.15329542760171258,100
nsgaii,DASCMOP4(5),900,0.8087648289959577,0.17713983572456304,None
moead,DASCMOP4(5),1000,0.3866003006340927,0.19989623656498776,None
nsgaiii,DASCMOP1(5),300,0.9770902705669807,0.13826376333385004,None
moead,DASCMOP6(5),1000,0.3669067360964624,0.167227388767689,None
nsgaiii,DASCMOP4(5),900,0.8087648289959577,0.17713983572456304,None
nsgaii,DASCMOP6(5),900,0.5907391737204531,0.18786895148679938,None
nsgaiii,DASCMOP3(5),200,0.28946205886716064,0.00263856159060345,None
nsgaiii,DASCMOP6(5),900,0.8087648289959577,0.17713983572456304,None
nsgaiii,DASCMOP2(5),300,0.5459799372370255,0.07894725191770256,None
ibea,DASCMOP2(5),200,0.4071831077301601,0.02077400065606765,None
ibea,DASCMOP3(5),300,0.8223811139294136,0.06462571914294209,None
nsgaiii,DASCMOP5(5),1000,0.24068316826223055,0.17183269804464224,None
ibea,DASCMOP6(5),900,0.8087648289959577,0.17713983572456304,None
ibea,DASCMOP4(5),900,0.8087648289959577,0.17713983572456304,None
ibea,DASCMOP5(5),900,0.8087648289959577,0.17713983572456304,None
moead,DASCMOP1(6),300,0.21430947866985056,0.015457462610411114,None
moead,DASCMOP2(6),100,0.18559629148962214,0.00025507875406747263,None
moead,DASCMOP3(6),400,0.18794865124130372,0.07205697599415976,None
moead,DASCMOP4(6),1000,0.2221346073542188,0.18429731209864,None
ibea,DASCMOP6(6),900,0.8087648289959577,0.17713983572456304,None
ibea,DASCMOP4(6),900,0.8087648289959577,0.17713983572456304,None
ibea,DASCMOP1(6),100,0.55,0.1,None
nsgaii,DASCMOP2(6),200,0.49277523047191474,0.003322929081150372,None
ibea,DASCMOP3(6),700,0.42242008066135095,0.0317490277908262,None
ibea,DASCMOP2(6),700,0.42242008066135095,0.0317490277908262,None
nsgaii,DASCMOP1(6),200,0.208227495844585,0.00443493702047415,None
nsgaii,DASCMOP3(6),100,0.1485652841854635,0.08016448387950255,None
moead,DASCMOP1(7),1000,0.2732804403125515,0.016165403535072165,None
smpso,DASCMOP1(7),600,None,0.15202585178736416,100
nsgaiii,DASCMOP2(6),100,0.21511756062238696,0.044117246260894374,None
nsgaii,DASCMOP6(6),600,0.6476547606676042,0.19946056890537062,None
nsgaii,DASCMOP4(6),900,0.8087648289959577,0.17713983572456304,None
nsgaii,DASCMOP5(6),900,0.8087648289959577,0.17713983572456304,None
nsgaiii,DASCMOP1(6),100,0.2305911358707288,0.03272759873094568,None
smpso,DASCMOP2(7),1000,None,0.1777750834762375,100
smpso,DASCMOP3(7),800,None,0.1993090350647454,800
ibea,DASCMOP5(6),900,0.8087648289959577,0.17713983572456304,None
moead,DASCMOP5(6),1000,0.29284039169154824,0.18562516940756285,None
nsgaiii,DASCMOP3(6),400,0.22585096934754928,0.11248104223194184,None
smpso,DASCMOP4(7),300,None,0.12943772768904124,900
smpso,DASCMOP5(7),100,None,0.1519741669311716,600
smpso,DASCMOP6(7),100,None,0.19526965407951952,400
nsgaiii,DASCMOP4(6),900,0.27053407225454373,0.18054391825530602,None
moead,DASCMOP6(6),1000,0.29340030250129756,0.19396056301356024,None
omopso,DASCMOP3(7),700,None,0.08851409126879156,700
omopso,DASCMOP1(7),1000,None,0.18363777740326595,1000
nsgaiii,DASCMOP6(6),900,0.8087648289959577,0.17713983572456304,None
omopso,DASCMOP2(7),800,None,0.12958315830233888,200
omopso,DASCMOP4(7),700,None,0.09352112634425812,700
omopso,DASCMOP5(7),800,None,0.1380638463659448,100
omopso,DASCMOP6(7),600,None,0.14954780800978626,700
nsgaiii,DASCMOP5(6),900,0.8087648289959577,0.17713983572456304,None
nsgaii,DASCMOP1(7),100,0.21511756062238696,0.044117246260894374,None
nsgaii,DASCMOP3(7),200,0.10682714809761094,0.03084089917154187,None
nsgaii,DASCMOP2(7),100,0.21511756062238696,0.044117246260894374,None
nsgaiii,DASCMOP1(7),100,0.11146392597034906,0.11160921120623427,None
nsgaii,DASCMOP4(7),900,0.8087648289959577,0.17713983572456304,None
nsgaii,DASCMOP6(7),900,0.27053407225454373,0.18054391825530602,None
moead,DASCMOP4(7),1000,0.46073184397595157,0.1868917631383108,None
nsgaii,DASCMOP5(7),900,0.7841448828153257,0.19241370873510813,None
nsgaiii,DASCMOP2(7),400,0.27973938227445766,0.17407582973361224,None
moead,DASCMOP2(7),500,0.13647982849016663,0.005892898962135689,None
moead,DASCMOP3(7),500,0.2616401360199305,0.035845477121351776,None
nsgaiii,DASCMOP3(7),100,0.21511756062238696,0.044117246260894374,None
nsgaiii,DASCMOP6(7),900,0.8087648289959577,0.17713983572456304,None
nsgaiii,DASCMOP4(7),900,0.8087648289959577,0.17713983572456304,None
nsgaiii,DASCMOP5(7),900,0.8087648289959577,0.17713983572456304,None
moead,DASCMOP6(7),1000,0.3201772445952915,0.1903839198099952,None
cmpso,DASCMOP2(7),200,None,0.15128297044052835,600
cmpso,DASCMOP3(7),100,None,0.0868611174434008,800
cmpso,DASCMOP5(7),1000,None,0.1251507547083719,100
moead,DASCMOP5(7),1000,0.25885125125701514,0.19892395259585247,None
cmpso,DASCMOP4(7),1000,None,0.06326980401191776,700
cmpso,DASCMOP6(7),1000,None,0.035213656922444984,100
cmpso,DASCMOP1(7),100,None,0.020238512445333725,1000
ibea,DASCMOP1(7),600,0.7141327373878906,0.012292752266853469,None
ibea,DASCMOP2(7),300,0.8223811139294136,0.06462571914294209,None
ibea,DASCMOP5(7),900,0.8087648289959577,0.17713983572456304,None
ibea,DASCMOP6(7),900,0.8087648289959577,0.17713983572456304,None
ibea,DASCMOP3(7),600,0.7141327373878906,0.012292752266853469,None
ibea,DASCMOP4(7),900,0.8087648289959577,0.17713983572456304,None
